"","x","z"
"1577",27,32
"1578",28,32
"1579",29,32
"1580",30,32
"1581",31,32
"1582",32,32
"1583",33,32
"1584",34,32
"1585",35,32
"1586",36,32
"1587",37,32
"1588",38,32
"1589",39,32
"1590",40,32
"1591",41,32
"1592",42,32
"1593",43,32
"1594",44,32
"1595",45,32
"1596",46,32
"1597",47,32
"1598",48,32
"1599",49,32
"1600",50,32
"1601",1,33
"1602",2,33
"1603",3,33
"1604",4,33
"1605",5,33
"1606",6,33
"1607",7,33
"1608",8,33
"1609",9,33
"1610",10,33
"1611",11,33
"1612",12,33
"1613",13,33
"1614",14,33
"1615",15,33
"1616",16,33
"1617",17,33
"1618",18,33
"1619",19,33
"1620",20,33
"1621",21,33
"1622",22,33
"1623",23,33
"1624",24,33
"1625",25,33
"1626",26,33
"1627",27,33
"1628",28,33
"1629",29,33
"1630",30,33
"1631",31,33
"1632",32,33
"1633",33,33
"1634",34,33
"1635",35,33
"1636",36,33
"1637",37,33
"1638",38,33
"1639",39,33
"1640",40,33
"1641",41,33
"1642",42,33
"1643",43,33
"1644",44,33
"1645",45,33
"1646",46,33
"1647",47,33
"1648",48,33
"1649",49,33
"1650",50,33
"1651",1,34
"1652",2,34
"1653",3,34
"1654",4,34
"1655",5,34
"1656",6,34
"1657",7,34
"1658",8,34
"1659",9,34
"1660",10,34
"1661",11,34
"1662",12,34
"1663",13,34
"1664",14,34
"1665",15,34
"1666",16,34
"1667",17,34
"1668",18,34
"1669",19,34
"1670",20,34
"1671",21,34
"1672",22,34
"1673",23,34
"1674",24,34
"1675",25,34
"1676",26,34
"1677",27,34
"1678",28,34
"1679",29,34
"1680",30,34
"1681",31,34
"1682",32,34
"1683",33,34
"1684",34,34
"1685",35,34
"1686",36,34
"1687",37,34
"1688",38,34
"1689",39,34
"1690",40,34
"1691",41,34
"1692",42,34
"1693",43,34
"1694",44,34
"1695",45,34
"1696",46,34
"1697",47,34
"1698",48,34
"1699",49,34
"1700",50,34
"1701",1,35
"1702",2,35
"1703",3,35
"1704",4,35
"1705",5,35
"1706",6,35
"1707",7,35
"1708",8,35
"1709",9,35
"1710",10,35
"1711",11,35
"1712",12,35
"1713",13,35
"1714",14,35
"1715",15,35
"1716",16,35
"1717",17,35
"1718",18,35
"1719",19,35
"1720",20,35
"1721",21,35
"1722",22,35
"1723",23,35
"1724",24,35
"1725",25,35
"1726",26,35
"1727",27,35
"1728",28,35
"1729",29,35
"1730",30,35
"1731",31,35
"1732",32,35
"1733",33,35
"1734",34,35
"1735",35,35
"1736",36,35
"1737",37,35
"1738",38,35
"1739",39,35
"1740",40,35
"1741",41,35
"1742",42,35
"1743",43,35
"1744",44,35
"1745",45,35
"1746",46,35
"1747",47,35
"1748",48,35
"1749",49,35
"1750",50,35
"1751",1,36
"1752",2,36
"1753",3,36
"1754",4,36
"1755",5,36
"1756",6,36
"1757",7,36
"1758",8,36
"1759",9,36
"1760",10,36
"1761",11,36
"1762",12,36
"1763",13,36
"1764",14,36
"1765",15,36
"1766",16,36
"1767",17,36
"1768",18,36
"1769",19,36
"1770",20,36
"1771",21,36
"1772",22,36
"1773",23,36
"1774",24,36
"1775",25,36
"1776",26,36
"1777",27,36
"1778",28,36
"1779",29,36
"1780",30,36
"1781",31,36
"1782",32,36
"1783",33,36
"1784",34,36
"1785",35,36
"1786",36,36
"1787",37,36
"1788",38,36
"1789",39,36
"1790",40,36
"1791",41,36
"1792",42,36
"1793",43,36
"1794",44,36
"1795",45,36
"1796",46,36
"1797",47,36
"1798",48,36
"1799",49,36
"1800",50,36
"1801",1,37
"1802",2,37
"1803",3,37
"1804",4,37
"1805",5,37
"1806",6,37
"1807",7,37
"1808",8,37
"1809",9,37
"1810",10,37
"1811",11,37
"1812",12,37
"1813",13,37
"1814",14,37
"1815",15,37
"1816",16,37
"1817",17,37
"1818",18,37
"1819",19,37
"1820",20,37
"1821",21,37
"1822",22,37
"1823",23,37
"1824",24,37
"1825",25,37
"1826",26,37
"1827",27,37
"1828",28,37
"1829",29,37
"1830",30,37
"1831",31,37
"1832",32,37
"1833",33,37
"1834",34,37
"1835",35,37
"1836",36,37
"1837",37,37
"1838",38,37
"1839",39,37
"1840",40,37
"1841",41,37
"1842",42,37
"1843",43,37
"1844",44,37
"1845",45,37
"1846",46,37
"1847",47,37
"1848",48,37
"1849",49,37
"1850",50,37
"1851",1,38
"1852",2,38
"1853",3,38
"1854",4,38
"1855",5,38
"1856",6,38
"1857",7,38
"1858",8,38
"1859",9,38
"1860",10,38
"1861",11,38
"1862",12,38
"1863",13,38
"1864",14,38
"1865",15,38
"1866",16,38
"1867",17,38
"1868",18,38
"1869",19,38
"1870",20,38
